driver,mention_count,share_of_voice_pct,share_of_driver_comments_pct
verstappen,452,6.140470044830866,15.618521078092606
hamilton,350,4.754788751528325,12.093987560469937
norris,252,3.4234479011003938,8.707671043538355
sainz,250,3.3962776796630894,8.638562543192812
perez,233,3.165330797445999,8.0511402902557
piastri,230,3.124575465290042,7.947477539737388
leclerc,218,2.9615541366662135,7.532826537664132
russell,206,2.7985328080423857,7.118175535590877
alonso,202,2.744192365167776,6.979958534899793
tsunoda,201,2.7306072544491236,6.945404284727022
magnussen,147,1.9970112756418963,5.079474775397374
stroll,145,1.9698410542045919,5.010366275051831
colapinto,97,1.3177557397092787,3.3517622667588114
lawson,96,1.3041706289906263,3.31720801658604
gasly,90,1.2226599646787122,3.1098825155494123
albon,82,1.1139790789294934,2.8334485141672427
zhou,82,1.1139790789294934,2.8334485141672427
hulkenberg,76,1.032468414617579,2.626123013130615
sargeant,73,0.991713082461622,2.5224602626123014
ocon,64,0.8694470859937508,2.21147201105736
bottas,61,0.8286917538377937,2.1078092605390464
ricciardo,57,0.7743513109631843,1.9695922598479614
