driver,video_count,avg_views,avg_likes,avg_comments,avg_engagement_rate,total_views
hamilton,6,1445759.5,34944.0,1510.6666666666667,2.544629481196647,8674557
verstappen,3,1001903.3333333334,45430.666666666664,374.6666666666667,5.189276161576998,3005710
leclerc,4,991830.0,53814.25,243.75,6.693539904494584,3967320
perez,1,922399.0,16985.0,2754.0,2.1399632913739066,922399
sainz,2,502477.0,11365.0,1401.5,4.57915734673474,1004954
piastri,2,473896.5,13214.0,1072.0,3.813116838339604,947793
alonso,1,455548.0,9712.0,567.0,2.256403276932398,455548
tsunoda,1,313706.0,23411.0,227.0,7.535080616883325,313706
russell,1,117701.0,7172.0,88.0,6.168171893186973,117701
albon,1,83635.0,3040.0,161.0,3.827345011059963,83635
magnussen,1,83635.0,3040.0,161.0,3.827345011059963,83635
norris,1,77425.0,6079.0,54.0,7.921214078140136,77425
