comment_id,video_id,author_display_name,text_original,like_count,published_at,video_title
UgxANpUBzIjVCxAb1yp4AaABAg,q_X37xjVCTs,@Ash_jade25,I love how like 25% of this video is just franco playing with his gift,27850,2024-12-22 16:24:02+00:00,The F1 Grid Does Secret Santa 2024!
UgyztnTI8ktqRfBCqdF4AaABAg,q_X37xjVCTs,@hehehehe6934,"not franco throwing out the ferrari colors and immediately making carlos a new williams car 😭
he's such a gem",27674,2024-12-22 16:41:19+00:00,The F1 Grid Does Secret Santa 2024!
UgyryulaRpCurp7W21p4AaABAg,NGSPg5ns2-0,@tjg_23,Just a friendly reminder that in the last 4 races Zhou has scored more points than Perez,24664,2024-12-01 18:48:02+00:00,Race Highlights | 2024 Qatar Grand Prix
UgxRX_0QxcxEamfnvPd4AaABAg,q_X37xjVCTs,@EmiliusReturns,"“Who would disrespect you like that?” 
Lando, without a shred of hesitation: “George.” 😂",23194,2024-12-22 15:31:38+00:00,The F1 Grid Does Secret Santa 2024!
UgwfzaQmZSx535sZWD14AaABAg,pQaG0ay957M,@MrEpicOSTs,"Russel with that masterclass strategy! Amazing call.

Edit: To be disqualified...",17402,2024-07-28 15:51:57+00:00,Race Highlights | 2024 Belgian Grand Prix
UgwqLYUC_a7ofvr-VWl4AaABAg,pQaG0ay957M,@kevinbray9550,Piastri is a revelation. He overtakes like a champion.,16463,2024-07-28 16:00:41+00:00,Race Highlights | 2024 Belgian Grand Prix
Ugx2wDaFFiooD9mo0dV4AaABAg,q_X37xjVCTs,@kattysherlyn4862,both mclaren drivers got paddle lessons is crazyyyy 😭😭 especially when it’s both from alex and george,16204,2024-12-22 15:21:14+00:00,The F1 Grid Does Secret Santa 2024!
UgzNiurx-_8CIqsdmEd4AaABAg,q_X37xjVCTs,@Avgeek101-qs3gf,"Carlos; If Zhou scores a point with sauber I will take a picture with this.

Zhou: And I took that personaly.",15869,2024-12-22 16:35:07+00:00,The F1 Grid Does Secret Santa 2024!
Ugz0m03VfX5YpT8Qbk54AaABAg,waEwZWrG3Eg,@Funktionalboss,No one believed me when I said I drive like Michael Schumacher,15337,2024-05-14 10:12:27+00:00,"""You Gotta Either Be Blind or Stupid to not See Me"" 😡"
UgzA9iglixgkBBZcF0V4AaABAg,q_X37xjVCTs,@arohiv8884,Franco straight away unwrapping and using his gifts is so hilarious,14770,2024-12-22 15:30:16+00:00,The F1 Grid Does Secret Santa 2024!
