video_id,title,view_count,like_count,comment_count,engagement_rate,published_at
iC2Gvo41qXk,Strike A Pose! 📸 #shorts,83968,6763,61,8.126905487804878,2024-03-18 21:00:19+00:00
kqSyRfQOD5w,Charles Leclerc Takes POLE at Home! 🇲🇨 🔥,173604,13849,184,8.083339093569272,2024-05-25 16:14:49+00:00
s8dH64RvCj4,A Second Career Pole For Lando! 👏,77425,6079,54,7.921214078140136,2024-06-22 16:34:18+00:00
L56zt85tv48,When F1 Does Secret Santa... 🎁,190312,14643,75,7.733616377317247,2024-12-24 14:00:23+00:00
xzI11ehbypk,Charles' Birthday Wish Came True! 🥳,185215,14065,135,7.666765650730232,2024-10-21 00:00:26+00:00
0OdhZ4IFuWI,This is ✨ Russellcore ✨,259878,19452,158,7.545848436574085,2024-08-15 13:00:02+00:00
Ky4S7V3x8Sg,Yuki Tsunoda Got Nothing Right! 😅,313706,23411,227,7.535080616883325,2024-12-21 12:00:32+00:00
eyoKYeWhFC0,CARLANDO MENTIONED 🗣️ 🔥,351818,24742,88,7.057626386370225,2024-07-05 16:45:02+00:00
n9lYYNKb7e0,The Fastest Place on the F1 Calendar 😮‍💨,179837,12503,165,7.044156652969077,2024-10-26 16:47:43+00:00
-YADD9sMc3A,Carlos Sainz's Biggest Test 👊,82555,5745,49,7.018351402095573,2024-12-04 16:00:00+00:00
jr7A6r9Vob4,Max Verstappen’s Record-Setting Red Bull Debut 🏆,175931,11596,134,6.667386645900949,2024-06-19 18:00:31+00:00
X1jx2HjVSOg,Track-side Spider-Man Spotted! 😅🕸️,241209,15163,130,6.340144853633156,2024-03-03 19:57:16+00:00
gZzHZwJ4gGk,Terry LOVES Speed!! 😍,101699,6371,45,6.308813262667283,2024-12-18 11:00:57+00:00
zkOlziRTQ-s,UNBELIEVABLE DRAMA 😍,211532,13010,166,6.22884480835051,2024-04-20 05:40:14+00:00
s3i3S-biqdA,George Russell Starting The Season Strong! 🔥 #Shorts,117701,7172,88,6.168171893186973,2024-03-02 18:56:22+00:00
aFGMJMX3C_8,"'""We Should Take Him To The Casino"" 🤣🃏",154039,9405,66,6.148442926791267,2024-11-23 15:00:02+00:00
k_s3C2PsYxs,When Charles Faced One Of Walter Koster's Epic Questions 😅,342986,19981,204,5.885079857486895,2024-11-26 13:00:52+00:00
-vGbfhrfOL0,Out Before The First Corner 😔,152793,8843,36,5.811130091038201,2024-10-28 16:30:00+00:00
2RaasOohw9M,“Why’d You Stop?” 🥺,1911738,110125,496,5.786410062466719,2024-11-20 11:00:03+00:00
aHUMfY7Sfx0,I'm Sure We've Seen This Somewhere Before 😅 #shorts,236758,13482,120,5.745106817932235,2024-03-08 19:40:23+00:00
