video_id,title,view_count,like_count,comment_count,engagement_rate,published_at
pQaG0ay957M,Race Highlights | 2024 Belgian Grand Prix,7505519,137281,6328,1.9133786750789652,2024-07-28 15:48:59+00:00
pQFNF7KN7LM,12 Times F1 Drivers Got Heated,6838338,55511,1449,0.8329509304746271,2024-01-11 16:00:29+00:00
NGSPg5ns2-0,Race Highlights | 2024 Qatar Grand Prix,5912137,108000,4424,1.9015797502662741,2024-12-01 18:47:05+00:00
t_kWOKjXHQA,Qualifying Highlights | Mexico City Grand Prix,3769127,78197,2796,2.1488530367907472,2024-10-26 22:33:35+00:00
waEwZWrG3Eg,"""You Gotta Either Be Blind or Stupid to not See Me"" 😡",3431932,109150,1878,3.2351456847047086,2024-05-14 10:00:56+00:00
sVUhtqwOAZA,Sprint Qualifying Highlights | 2024 Sao Paulo Grand Prix,3279199,61312,2209,1.937088904942945,2024-11-01 19:53:27+00:00
W2hTz0P4TNs,Charles Leclerc’s Monza Win (Leo’s Version) 🐶,3265515,167362,452,5.138975016191933,2024-09-02 16:29:43+00:00
q_X37xjVCTs,The F1 Grid Does Secret Santa 2024!,3131787,137503,3664,4.507554313240332,2024-12-22 15:00:52+00:00
Pr32-xKm6no,Sprint Qualifying Highlights | 2024 Qatar Grand Prix,2746693,52643,1661,1.9770684237371998,2024-11-29 18:43:34+00:00
hzlqtID692Y,INSIDE STORY: How Lewis Hamilton Won His First Race Since 2021 | 2024 British Grand Prix | Lenovo,2654095,43603,1408,1.6959076446020207,2024-07-17 15:00:48+00:00
jgrXIfJTT2I,Lewis Hamilton Joins Ferrari For The 2025 F1 Season!,2223754,72474,5553,3.508796386650682,2024-02-01 21:06:07+00:00
2RaasOohw9M,“Why’d You Stop?” 🥺,1911738,110125,496,5.786410062466719,2024-11-20 11:00:03+00:00
lNVnOBM8Pnk,Extended Highlights | 2023 Dutch Grand Prix,1714535,19455,562,1.1674885610384156,2024-08-20 13:28:59+00:00
UFoZ-13CdYI,Rosberg ALMOST Executes The Perfect Overtake On Verstappen 🤯,1541714,66439,679,4.353466336817335,2024-05-31 16:30:05+00:00
_oOaSXrCQTc,FP2 Highlights | 2024 Emilia Romagna Grand Prix,1425855,29834,970,2.160387977739672,2024-05-17 17:28:54+00:00
8CLkOr5P_ZA,Rosberg And Hamilton's Epic Title Decider! | 2015 United States Grand Prix | Extended Highlights,1340641,18592,895,1.4535584097457859,2024-10-14 14:00:08+00:00
j4ivC3V5Gvg,Wholesome Lewis and Max 🥰,1288065,58257,311,4.5469755020127085,2024-11-20 15:30:25+00:00
m8eD9nfNE8w,What Time Did Everyone Get To The Paddock? 👀,1158680,50912,273,4.4175268408879065,2024-06-22 18:00:24+00:00
8SJoVIFCULA,20 Times Title Rivals Collided!,1114212,20642,1305,1.9697328695077776,2024-02-16 16:57:21+00:00
3IDclJXQBAU,Lewis Hamilton Winning For Mercedes For One Hour Straight!,1039614,13583,586,1.3629096953292281,2024-12-24 14:00:02+00:00
